Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-27,PHO,SAC,1,16,1.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2020-12-29,PHO,NOP,0,25,3.9,2,0,1,0,0,0,0,1,1,0,0,0,1,0,-6
2021-01-11,PHO,WAS,1,-21,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021-03-23,PHO,MIA,1,10,1.38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-4
2021-04-02,PHO,OKC,0,37,5.32,1,1,1,1,1,2,0,1,0,0,0,0,0,4,7
2021-04-08,PHO,LAC,1,-10,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6
2021-04-10,PHO,WAS,0,28,4.25,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2021-04-13,PHO,MIA,0,20,2.27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-04-17,PHO,SAS,0,-26,5.77,2,1,1,0,0,0,1,2,0,0,1,1,0,2,1
2021-04-28,PHO,LAC,0,8,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2021-04-30,PHO,UTA,0,21,4.68,1,0,1,0,0,0,0,0,1,0,0,1,0,0,-2
2021-05-04,PHO,CLE,1,16,0.97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2021-05-05,PHO,ATL,1,-32,5.98,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-9
2021-05-07,PHO,NYK,0,23,1.32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021-05-15,PHO,SAS,1,37,5.35,1,1,1,1,0,0,1,3,2,0,0,1,0,3,1
