Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2021-01-13,DAL,CHO,1,11,1.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2021-01-17,DAL,CHI,0,-16,1.95,1,0,0,0,1,2,0,1,0,0,0,0,0,1,-1
2021-01-18,DAL,TOR,1,-23,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2021-01-23,DAL,HOU,0,-25,7.32,3,2,0,0,1,2,2,2,0,0,1,0,2,5,-7
2021-03-13,DAL,DEN,1,13,1.13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2021-03-21,DAL,POR,1,40,6.87,3,0,1,0,0,0,0,2,1,0,0,0,1,0,-1
2021-03-24,DAL,MIN,1,20,2.27,1,1,0,0,0,0,0,1,0,0,0,0,0,2,2
2021-03-26,DAL,IND,0,-15,3.57,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3
2021-03-29,DAL,OKC,1,21,5.23,2,0,0,0,0,0,1,2,0,0,0,0,1,0,-4
2021-04-03,DAL,WAS,1,22,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021-04-12,DAL,PHI,0,-18,5.03,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1
2021-04-27,DAL,GSW,1,30,8.93,5,2,2,1,1,1,0,0,0,0,0,1,1,6,-10
2021-05-04,DAL,MIA,1,14,1.72,1,0,1,0,0,0,0,0,1,0,0,0,1,0,-6
2021-05-07,DAL,CLE,0,20,1.95,1,1,0,0,0,0,1,1,0,0,0,1,0,2,4
2021-05-09,DAL,CLE,1,27,4.4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
2021-05-11,DAL,MEM,1,-29,7.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
2021-05-12,DAL,NOP,0,18,3.45,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-6
2021-05-16,DAL,MIN,1,-15,4.32,2,0,0,0,0,0,1,2,0,0,0,1,0,0,-1
