Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,MIA,ORL,1,-6,32.1,14,6,5,1,0,0,0,6,4,0,0,4,3,13,-7
2020-12-25,MIA,NOP,0,13,32.33,10,3,4,2,3,3,0,2,3,1,0,3,1,11,0
2020-12-29,MIA,MIL,0,-47,33.17,16,9,8,3,2,3,0,3,7,1,0,1,2,23,-32
2020-12-30,MIA,MIL,0,11,38.82,13,8,6,2,3,4,1,15,4,0,0,4,3,21,10
2021-01-01,MIA,DAL,1,-10,29.2,11,5,4,1,0,0,0,3,2,0,0,0,0,11,-16
2021-01-04,MIA,OKC,0,28,29.08,9,3,5,1,0,0,0,9,8,1,0,2,2,7,17
2021-01-06,MIA,BOS,0,-2,34.12,8,2,5,1,3,5,0,7,1,0,0,2,1,8,2
2021-01-09,MIA,WAS,1,4,37.18,20,12,5,1,6,8,0,9,2,0,0,3,3,31,-2
2021-01-12,MIA,PHI,1,-3,39.28,26,12,9,3,7,8,0,7,4,0,1,6,0,34,-17
2021-01-14,MIA,PHI,1,-17,31.85,16,7,2,1,2,3,0,6,3,1,0,3,1,17,-15
2021-01-28,MIA,LAC,0,-4,31.93,21,8,6,1,2,2,1,10,5,1,0,3,1,19,1
2021-01-30,MIA,SAC,0,1,40.05,12,5,5,2,3,4,1,4,3,0,2,4,2,15,1
2021-02-01,MIA,CHO,0,-8,33.48,10,3,7,3,2,2,0,3,8,1,0,3,2,11,-9
2021-02-03,MIA,WAS,0,-3,34.25,15,8,9,4,0,0,0,2,0,0,0,1,2,20,-3
2021-02-05,MIA,WAS,0,27,29.37,15,6,7,3,2,2,2,4,4,1,2,3,2,17,5
2021-02-07,MIA,NYK,1,6,32.4,13,7,3,2,0,0,1,6,4,0,0,2,1,16,2
2021-02-09,MIA,NYK,0,2,35.92,15,6,8,3,0,0,0,7,4,0,0,1,1,15,2
2021-02-13,MIA,UTA,1,-18,32.58,16,5,8,2,0,0,1,3,6,1,0,3,4,12,-9
2021-02-15,MIA,LAC,1,-7,40.7,20,11,10,4,1,3,2,5,2,1,2,2,1,27,-8
2021-02-17,MIA,GSW,1,-8,39.33,15,3,8,2,3,3,0,15,4,0,3,2,1,11,-5
2021-02-18,MIA,SAC,1,8,32.43,17,12,4,2,1,2,0,4,3,1,0,3,3,27,-3
2021-02-20,MIA,LAL,1,2,13.75,5,2,3,1,0,1,0,4,3,0,0,1,0,5,2
2021-02-28,MIA,ATL,0,10,29.47,10,4,4,2,4,4,0,2,4,1,0,4,2,14,19
2021-03-02,MIA,ATL,0,-14,28.37,12,3,7,3,0,0,2,5,1,4,0,1,1,9,-18
2021-03-04,MIA,NOP,1,10,27.05,6,1,2,0,0,0,0,2,1,0,0,0,1,2,6
2021-03-11,MIA,ORL,0,8,28.83,15,7,7,1,2,2,0,4,5,1,0,1,0,17,8
2021-03-12,MIA,CHI,1,11,23.3,7,1,3,0,2,4,0,4,1,1,0,1,2,4,5
2021-03-14,MIA,ORL,1,5,29.38,16,8,8,4,2,2,3,8,3,1,1,2,1,22,7
2021-03-16,MIA,CLE,0,15,31.88,13,4,3,0,7,7,1,3,2,1,0,2,0,15,6
2021-03-17,MIA,MEM,1,-4,25.7,11,4,3,1,2,2,0,5,2,0,1,2,0,11,-5
2021-03-19,MIA,IND,0,-27,28.05,15,4,5,1,6,6,0,5,1,2,0,2,1,15,-18
2021-03-21,MIA,IND,0,-3,36.18,16,4,7,0,3,3,1,5,4,0,1,1,1,11,-5
2021-03-23,MIA,PHO,0,-10,26.02,11,3,6,1,0,0,1,2,5,1,0,2,2,7,8
2021-03-25,MIA,POR,0,-3,35.28,19,9,9,5,6,6,1,4,8,1,0,2,1,29,-4
2021-03-26,MIA,CHO,1,-5,32.92,16,6,5,1,0,0,1,4,3,0,0,2,0,13,6
2021-03-29,MIA,NYK,1,10,34.27,16,6,9,4,2,2,0,3,4,1,0,1,1,18,-5
2021-03-31,MIA,IND,1,5,32.22,13,6,6,2,3,5,0,4,2,0,1,0,0,17,3
2021-04-01,MIA,GSW,0,7,35.42,13,8,5,2,2,2,1,4,3,2,1,0,3,20,8
2021-04-03,MIA,CLE,0,14,23.03,7,4,3,0,2,2,0,3,1,0,0,0,2,10,4
2021-04-06,MIA,MEM,0,-12,27.27,10,7,7,4,1,2,0,2,4,0,1,4,1,19,-13
2021-04-08,MIA,LAL,0,6,30.77,9,5,5,4,1,2,0,2,1,2,0,1,2,15,-4
2021-04-11,MIA,POR,1,9,30.03,11,6,2,1,1,2,1,7,3,2,0,1,0,14,11
2021-04-13,MIA,PHO,1,-20,27.3,11,5,3,0,0,0,0,2,0,2,0,3,0,10,-21
2021-04-14,MIA,DEN,1,-17,26.65,10,2,5,1,0,0,1,4,6,0,0,0,0,5,-14
2021-04-16,MIA,MIN,1,-8,22.67,7,1,4,0,2,2,0,3,4,1,1,2,1,4,-25
2021-04-18,MIA,BRK,0,2,24.52,13,4,2,1,0,0,0,4,6,1,0,0,0,9,-4
