Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-22,BRK,GSW,0, +26,5:59,1,0,0,0,1,0,1,0,0,0,0
2020-12-25,BRK,BOS,1, +28,2:30,1,1,1,1,0,0,0,0,0,0,3
2021-01-01,BRK,ATL,0, -18,2:57,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,BRK,UTA,0, +34,18:25,5,2,4,2,1,7,2,0,0,1,6
2021-01-22,BRK,CLE,1, -12,2:36,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,BRK,OKC,1, +22,4:44,2,0,1,0,0,1,0,0,0,0,0
2021-01-31,BRK,WAS,1, -3,6:15,1,0,1,0,3,0,0,0,2,1,0
2021-02-06,BRK,PHI,1, -16,24:08,7,2,4,0,0,1,1,0,2,0,4
2021-02-09,BRK,DET,1, -11,2:31,3,3,2,2,0,0,0,0,0,0,8
2021-02-10,BRK,IND,0, +10,19:49,3,1,1,0,3,0,0,0,0,2,2
2021-02-13,BRK,GSW,1, +17,14:27,6,3,6,3,2,0,0,0,0,1,9
2021-02-15,BRK,SAC,1, +11,22:47,8,4,4,2,0,2,0,0,0,1,10
2021-02-16,BRK,PHO,1, +4,32:08,10,5,8,5,5,0,0,0,0,2,17
2021-02-18,BRK,LAL,1, +11,8:08,5,1,4,1,2,1,0,0,0,2,3
2021-02-23,BRK,SAC,0, +9,22:35,6,2,4,1,3,3,2,0,0,0,7
2021-02-25,BRK,ORL,0, +37,19:33,6,2,5,2,3,0,0,0,0,0,6
2021-03-01,BRK,SAS,1, +11,21:20,5,1,4,1,4,2,0,0,0,0,3
2021-03-03,BRK,HOU,1, +18,18:39,3,1,2,1,4,0,0,0,1,3,6
2021-03-11,BRK,BOS,0, +12,16:39,4,2,3,2,2,2,0,0,0,2,6
2021-03-13,BRK,DET,0, +5,16:32,3,1,3,1,0,1,0,0,0,0,3
2021-03-15,BRK,NYK,0, +5,16:08,3,2,3,2,1,1,0,0,0,1,6
2021-03-17,BRK,IND,1, +9,31:29,9,4,6,2,4,0,2,0,2,1,15
2021-03-19,BRK,ORL,1, -8,13:04,4,2,1,0,0,0,0,0,1,2,4
2021-03-21,BRK,WAS,0, +7,19:59,6,2,4,1,4,0,1,0,0,1,5
2021-03-23,BRK,POR,1, +4,23:10,7,3,4,1,3,2,0,0,0,2,8
2021-03-24,BRK,UTA,1, -30,24:23,7,2,4,0,2,0,0,0,0,2,7
2021-03-26,BRK,DET,1, +2,27:45,8,3,6,2,3,4,1,0,0,4,8
2021-03-29,BRK,MIN,0, +5,26:59,5,1,5,1,4,0,2,0,1,1,3
2021-03-31,BRK,HOU,0, +12,20:56,5,0,4,0,1,0,0,0,2,2,0
2021-04-01,BRK,CHO,0, +22,21:43,7,5,7,5,3,1,0,0,2,0,15
2021-04-04,BRK,CHI,1, -8,14:05,2,1,0,0,1,1,0,0,0,0,2
2021-04-25,BRK,PHO,0, +9,15:52,5,3,4,2,1,2,0,0,1,0,8
2021-04-27,BRK,TOR,1, +13,26:55,6,3,5,2,3,3,0,0,0,3,10
2021-04-29,BRK,IND,1, +17,26:15,9,4,8,3,3,3,1,0,1,2,11
2021-04-30,BRK,POR,0, -19,23:54,4,0,4,0,1,1,1,0,0,1,0
2021-05-02,BRK,MIL,1, -3,11:56,4,0,2,0,2,3,0,0,0,0,0
2021-05-12,BRK,SAS,0, +12,19:30,3,1,2,0,2,2,0,0,1,1,2
2021-05-15,BRK,CHI,0, +14,14:25,1,1,1,1,3,2,0,0,0,1,3
2021-05-16,BRK,CLE,0, +14,22:42,9,4,5,2,3,2,0,0,1,4,10
