Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-25,DAL,LAL,1, -23,1:42,1,1,0,0,0,1,0,0,0,0,2
2020-12-27,DAL,LAC,1, +51,8:46,2,0,1,0,1,0,1,0,0,1,0
2020-12-30,DAL,CHO,0, -19,3:40,1,0,1,0,0,1,0,0,0,0,0
2021-01-03,DAL,CHI,1, -10,0:16,1,0,1,0,0,0,0,0,0,0,0
2021-01-13,DAL,CHO,1, +11,1:15,0,0,0,0,1,0,0,0,1,0,0
2021-01-15,DAL,MIL,1, -3,4:48,1,1,0,0,1,2,1,0,0,0,2
2021-01-17,DAL,CHI,0, -16,15:21,4,2,2,0,0,0,2,0,0,0,4
2021-01-18,DAL,TOR,1, -23,3:20,1,0,1,0,1,0,0,0,0,0,0
2021-01-23,DAL,HOU,0, -25,12:00,4,1,1,0,2,2,1,0,0,1,2
2021-01-27,DAL,UTA,1, -12,1:34,0,0,0,0,0,0,0,0,0,0,1
2021-01-29,DAL,UTA,1, -19,3:36,1,0,0,0,0,0,0,0,1,0,0
