Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,PHI,WAS,0,6,10.85,6,3,1,0,0,0,0,2,2,0,0,1,0,6,3
2020-12-26,PHI,NYK,1,20,8.82,4,1,0,0,0,0,1,2,3,0,0,1,0,2,2
2020-12-27,PHI,CLE,1,-24,21.67,8,3,2,0,0,0,0,0,1,1,0,1,1,6,-14
2020-12-29,PHI,TOR,0,7,8.02,3,0,2,0,0,0,0,0,1,0,0,0,0,0,7
2020-12-31,PHI,ORL,1,24,21.0,9,5,0,0,0,0,0,2,0,1,0,1,2,10,-1
2021-01-02,PHI,CHO,0,15,17.92,8,4,2,1,0,0,0,2,2,1,0,1,1,9,2
2021-01-04,PHI,CHO,0,17,21.22,10,4,3,2,1,1,0,2,2,1,0,0,2,11,-3
2021-01-06,PHI,WAS,0,5,10.98,1,1,0,0,0,0,0,2,1,0,0,0,1,2,-9
2021-01-07,PHI,BRK,1,-13,20.92,12,7,4,2,0,0,0,3,2,1,1,0,0,16,7
2021-01-09,PHI,DEN,0,-12,43.75,33,18,8,3,0,0,1,7,6,2,0,2,3,39,-17
2021-01-11,PHI,ATL,1,-18,30.93,14,7,1,0,1,1,0,6,4,0,2,2,1,15,-24
2021-01-12,PHI,MIA,0,3,36.23,18,7,6,1,1,3,1,3,8,1,0,1,6,16,-14
2021-01-14,PHI,MIA,0,17,25.67,10,6,3,1,2,2,1,1,1,1,0,2,2,15,-2
2021-01-16,PHI,MEM,1,-2,24.6,13,5,4,0,2,2,2,3,0,0,0,0,1,12,2
2021-01-20,PHI,BOS,0,8,20.57,4,0,1,0,0,0,0,2,2,0,0,0,2,0,2
2021-01-22,PHI,BOS,0,12,6.2,1,1,0,0,0,0,0,3,0,0,0,0,0,2,1
2021-01-23,PHI,DET,1,4,12.57,4,1,1,0,0,0,0,2,0,2,0,0,0,2,-9
2021-01-25,PHI,DET,1,-15,20.97,12,6,3,2,3,3,0,2,2,3,0,1,2,17,-7
2021-01-27,PHI,LAL,0,1,5.92,5,2,0,0,0,0,0,0,0,0,0,0,0,4,-4
2021-01-29,PHI,MIN,1,24,9.7,5,3,0,0,2,2,0,0,0,0,0,1,2,8,-5
2021-01-31,PHI,IND,1,9,18.23,8,3,3,1,2,2,0,1,3,0,0,0,0,9,4
2021-02-03,PHI,CHO,1,7,4.58,1,0,0,0,0,0,0,2,1,0,0,0,1,0,-5
2021-02-04,PHI,POR,0,-16,20.82,8,5,4,2,3,4,0,2,4,1,0,2,3,15,-3
2021-02-06,PHI,BRK,0,16,2.72,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6
2021-02-11,PHI,POR,1,-4,12.58,8,2,3,0,1,1,0,1,0,0,0,0,1,5,-13
2021-02-13,PHI,PHO,1,-9,9.98,6,2,1,0,2,2,0,0,3,0,0,1,0,6,-1
2021-02-15,PHI,UTA,1,-11,12.77,8,3,2,0,0,0,0,0,0,0,0,0,1,6,-9
2021-02-17,PHI,HOU,0,5,11.7,7,4,0,0,2,2,0,2,0,0,0,1,0,10,5
2021-02-19,PHI,CHI,0,7,17.0,11,3,0,0,0,0,2,3,3,0,0,3,2,6,-11
2021-02-25,PHI,DAL,0,14,4.53,2,1,0,0,0,0,0,1,1,0,0,0,2,2,-9
2021-02-27,PHI,CLE,0,-3,7.95,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
2021-03-01,PHI,IND,0,16,17.17,3,2,1,0,0,0,0,2,5,0,1,1,3,4,-8
2021-03-11,PHI,CHI,1,22,4.53,4,2,1,0,0,0,0,0,0,0,0,0,0,4,0
2021-03-12,PHI,WAS,1,26,6.32,2,1,0,0,0,0,0,0,0,0,0,0,0,2,-1
2021-03-14,PHI,SAS,0,35,8.78,5,2,0,0,1,2,0,1,2,0,1,1,0,5,-5
2021-03-20,PHI,SAC,0,24,14.77,7,4,1,1,0,0,1,1,1,0,0,1,3,9,-10
2021-03-21,PHI,NYK,1,1,14.97,4,3,0,0,0,0,0,3,1,0,0,1,2,6,4
2021-03-23,PHI,GSW,1,10,11.28,3,2,2,1,0,0,0,1,0,0,0,0,1,5,-11
2021-03-25,PHI,LAL,1,8,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
