Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MEM,SAS,0, -12,13:35,5,3,1,0,1,1,0,0,2,0,7
2020-12-26,MEM,ATL,0, -10,15:59,4,0,2,0,1,3,0,1,0,0,0
2020-12-28,MEM,BRK,1, +5,34:43,12,4,2,0,5,4,2,0,1,2,9
2020-12-30,MEM,BOS,1, -19,22:49,7,3,2,0,2,2,2,1,1,0,6
2021-01-01,MEM,CHO,1, +15,28:59,7,3,2,0,1,12,2,0,1,0,6
2021-01-03,MEM,LAL,0, -14,31:36,11,6,5,2,5,3,1,0,0,1,14
2021-01-05,MEM,LAL,0, -2,32:12,8,3,4,1,0,8,2,1,1,0,8
2021-01-07,MEM,CLE,0, -4,26:47,9,4,3,1,4,6,0,0,2,0,9
2021-01-08,MEM,BRK,0, +5,30:47,12,5,4,1,4,10,4,0,1,1,11
2021-01-11,MEM,CLE,1, +10,31:37,9,5,1,1,5,7,3,0,2,1,13
2021-01-13,MEM,MIN,1, +11,27:31,12,4,5,1,3,7,1,0,1,0,9
2021-01-16,MEM,PHI,0, +2,17:18,8,3,2,0,1,4,3,0,2,1,6
2021-01-18,MEM,PHO,0, +4,22:12,8,5,2,1,5,3,1,0,0,0,11
2021-01-30,MEM,SAS,1, +17,21:55,9,4,3,0,1,8,0,0,0,2,8
2021-02-01,MEM,SAS,1, +31,27:46,9,5,3,1,3,14,2,0,1,1,11
2021-02-02,MEM,IND,1, -18,20:59,10,5,3,2,3,3,0,0,0,0,12
2021-02-04,MEM,HOU,0, -12,19:23,8,5,5,3,2,8,1,0,0,0,13
2021-02-06,MEM,NOP,1, -9,20:52,7,3,3,0,7,1,0,0,1,0,8
2021-02-08,MEM,TOR,0, -15,14:29,6,1,4,0,0,2,1,0,2,0,4
2021-02-10,MEM,CHO,0, +16,21:43,7,4,4,3,3,3,1,0,0,3,12
2021-02-12,MEM,LAL,1, -10,25:46,8,3,3,0,3,8,1,0,3,1,6
2021-02-14,MEM,SAC,1, +14,16:03,7,0,2,0,3,4,2,0,2,0,0
2021-02-16,MEM,NOP,0, -31,17:16,5,0,2,0,2,3,2,0,0,0,2
2021-02-17,MEM,OKC,0, +9,22:28,4,0,1,0,2,4,1,0,0,0,0
2021-02-19,MEM,DET,0, +14,15:36,4,3,0,0,0,1,1,1,0,0,8
2021-02-20,MEM,PHO,0, -31,19:57,11,4,4,1,3,3,1,0,1,0,11
2021-02-22,MEM,DAL,1, -10,16:56,7,5,1,0,0,4,1,0,1,1,10
2021-02-25,MEM,LAC,0, +28,14:52,11,9,3,2,2,3,1,0,0,0,20
2021-02-26,MEM,LAC,0, -20,14:49,6,2,2,1,0,3,0,0,1,0,6
2021-02-28,MEM,HOU,1, +49,16:28,6,5,3,3,5,2,2,0,2,0,13
2021-03-02,MEM,WAS,1, +14,14:42,7,1,1,0,4,2,1,0,0,0,2
2021-03-04,MEM,MIL,0, -1,13:00,7,4,3,1,1,0,1,0,0,0,9
