Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,UTA,POR,1,20,3.58,1,1,0,0,1,0,0,0,0,0,2
2021-01-03,UTA,SAS,1,21,5.58,2,1,0,0,0,0,0,1,0,1,2
2021-01-05,UTA,BRK,1,-34,7.57,0,0,0,0,2,0,1,0,0,1,2
2021-01-08,UTA,MIL,1,13,1.25,1,1,0,0,0,0,0,0,0,0,2
2021-01-12,UTA,CLE,1,30,5.65,0,0,0,0,2,0,0,0,0,0,0
2021-01-15,UTA,ATL,0,24,6.6,1,0,0,0,1,0,0,0,2,2,0
2021-01-19,UTA,NOP,0,16,1.82,0,0,0,0,1,0,0,1,0,0,0
2021-01-21,UTA,NOP,0,11,1.98,0,0,0,0,0,0,0,0,0,0,0
2021-01-23,UTA,GSW,0,19,9.62,2,1,0,0,4,0,0,1,1,3,4
2021-01-26,UTA,NYK,0,14,1.07,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,UTA,DAL,0,12,1.57,0,0,0,0,0,0,0,1,0,0,0
2021-01-29,UTA,DAL,0,19,2.72,0,0,0,0,2,0,0,0,0,1,0
2021-05-12,UTA,POR,0,-7,2.3,0,0,0,0,0,0,0,0,0,0,0
2021-05-14,UTA,OKC,1,16,3.02,2,0,0,0,0,0,0,0,0,1,0
2021-05-16,UTA,SAC,1,22,2.88,0,0,0,0,0,0,0,0,0,0,4
