Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,IND,NYK,0, +14,28:16,14,9,5,2,4,4,1,0,1,3,22
2020-12-26,IND,CHI,1, +19,25:03,12,8,5,5,7,1,2,0,2,2,22
2020-12-29,IND,BOS,0, -5,34:25,18,10,6,2,6,6,0,1,2,3,24
2020-12-31,IND,CLE,0, +20,34:12,14,5,8,4,4,8,1,0,3,1,16
2021-01-02,IND,NYK,0, -4,37:22,16,3,9,2,7,3,1,1,1,3,16
2021-01-04,IND,NOP,1, +2,35:58,17,8,11,5,5,6,2,0,2,1,25
2021-01-06,IND,HOU,0, +7,35:55,20,6,7,1,9,2,1,0,2,4,18
2021-01-09,IND,PHO,0, -8,30:55,21,7,7,2,6,4,1,0,2,5,16
2021-01-11,IND,SAC,1, -5,37:25,20,8,11,2,3,4,6,0,3,1,21
2021-01-18,HOU,CHI,1, -5,32:04,23,13,9,4,5,9,2,0,7,3,32
2021-01-20,HOU,PHO,0, -6,31:19,22,7,5,1,5,6,3,1,2,4,22
2021-01-22,HOU,DET,1, +1,35:27,16,4,6,1,2,3,1,1,2,4,13
2021-01-26,HOU,WAS,0, +19,36:59,21,7,10,3,5,1,0,0,3,1,20
2021-01-28,HOU,POR,0, +3,36:36,23,11,10,2,7,5,1,1,0,1,25
2021-01-30,HOU,NOP,1, +14,24:42,14,7,8,4,6,7,0,1,1,0,20
2021-02-01,HOU,OKC,1, +30,24:45,16,6,5,3,3,7,0,1,2,3,15
2021-02-03,HOU,OKC,1, -17,31:35,24,8,8,1,3,3,2,0,3,1,19
2021-02-06,HOU,SAS,0, -5,32:00,14,4,3,0,6,5,1,1,4,5,9
2021-02-08,HOU,CHO,1, -25,33:55,18,7,10,3,7,6,1,0,1,2,21
2021-02-11,HOU,MIA,0, -7,20:20,6,2,3,1,4,2,1,0,1,1,6
2021-02-24,HOU,CLE,1, -16,31:56,20,8,8,1,6,5,2,0,1,0,17
2021-02-26,HOU,TOR,1, -11,36:25,21,9,10,4,5,4,2,0,0,2,27
2021-03-01,HOU,CLE,0, -11,41:15,21,8,6,2,3,3,3,1,6,4,20
2021-03-03,HOU,BRK,0, -18,36:34,25,9,11,5,7,5,2,2,2,2,33
2021-03-11,HOU,SAC,1, -20,33:39,21,7,8,1,4,9,1,0,4,2,23
2021-03-14,HOU,BOS,0, -27,31:25,23,9,10,3,6,4,0,0,2,3,26
2021-03-16,HOU,ATL,0, -12,41:21,20,13,6,4,3,5,0,0,4,2,34
2021-03-19,HOU,DET,0, -13,36:13,18,7,9,2,3,4,0,0,4,1,19
2021-03-21,HOU,OKC,0, -2,40:47,15,9,8,4,5,6,2,1,2,4,23
2021-04-01,MIA,GSW,0, +7,23:05,8,2,4,0,3,5,2,0,3,5,6
2021-04-03,MIA,CLE,0, +14,29:35,13,3,6,1,1,5,2,1,4,5,8
2021-04-06,MIA,MEM,0, -12,33:11,14,6,4,1,6,2,0,0,3,2,16
2021-04-08,MIA,LAL,0, +6,25:24,8,5,3,2,4,2,3,1,4,1,18
