Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-31,PHI,ORL,1,24,6.93,2,1,0,0,0,0,1,2,0,0,1,1,0,2,-10
2021-01-04,PHI,CHO,0,17,5.58,1,0,0,0,2,4,1,1,1,0,0,0,1,2,-7
2021-01-07,PHI,BRK,1,-13,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-04,PHI,POR,0,-16,3.9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11
2021-02-25,PHI,DAL,0,14,2.1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2021-03-01,PHI,IND,0,16,1.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2021-03-11,PHI,CHI,1,22,3.18,2,1,0,0,0,0,1,2,1,0,0,0,1,2,2
2021-03-12,PHI,WAS,1,26,3.52,2,0,1,0,0,0,0,1,0,0,0,0,0,0,-6
2021-03-14,PHI,SAS,0,35,7.47,4,1,0,0,0,0,3,4,0,0,0,1,3,2,-2
2021-03-20,PHI,SAC,0,24,3.47,0,0,0,0,0,2,0,3,0,0,1,1,2,0,3
