Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-28,DET,ATL,1, -8,20:33,10,4,7,2,1,0,0,0,1,2,11
2021-01-04,DET,MIL,1, -10,24:50,7,5,4,3,4,2,1,0,0,1,13
2021-01-06,DET,MIL,1, -15,23:52,9,5,6,2,3,0,1,1,0,2,12
2021-01-08,DET,PHO,0, +5,0:04,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,DET,UTA,0, -10,13:21,7,2,6,2,2,0,0,2,0,2,6
2021-01-13,DET,MIL,0, -9,14:24,6,2,4,1,1,1,0,0,1,1,5
2021-01-16,DET,MIA,1, +20,26:03,5,3,5,3,1,0,0,0,1,3,9
2021-01-18,DET,MIA,1, -6,27:30,12,7,11,7,2,2,0,0,2,3,24
2021-01-20,DET,ATL,1, -8,33:26,11,5,9,4,2,3,0,0,1,0,16
2021-01-22,DET,HOU,0, -1,32:45,11,6,10,6,3,0,1,0,1,2,18
2021-01-23,DET,PHI,0, -4,28:19,9,6,6,4,4,2,2,0,1,0,17
2021-01-25,DET,PHI,0, +15,32:43,10,7,9,6,2,3,0,0,1,2,20
2021-01-27,DET,CLE,1, -15,32:48,11,6,8,4,2,1,2,0,1,1,17
2021-01-28,DET,LAL,0, +15,28:39,12,7,9,6,2,2,0,0,2,1,20
2021-01-30,DET,GSW,1, -27,17:34,6,0,5,0,2,1,1,0,0,0,0
2021-02-02,DET,UTA,1, -12,18:09,7,1,2,0,2,1,0,0,1,2,3
2021-02-09,DET,BRK,0, +11,19:55,6,3,5,2,2,0,0,0,0,2,8
2021-02-11,DET,IND,0, -16,23:33,8,3,6,1,2,1,0,1,0,0,7
2021-02-12,DET,BOS,1, +6,19:48,9,1,7,0,2,1,0,0,1,3,5
2021-02-14,DET,NOP,0, +11,21:02,6,2,5,2,1,2,0,0,0,3,6
2021-02-17,DET,CHI,1, -3,21:24,7,2,6,2,1,2,0,0,0,2,6
2021-02-19,DET,MEM,1, -14,28:24,9,3,7,1,1,5,1,0,0,1,10
2021-02-21,DET,ORL,1, -9,15:44,4,1,3,1,0,3,0,1,0,3,3
2021-02-24,DET,NOP,1, -10,23:42,10,3,7,1,1,3,0,0,3,1,7
2021-02-26,DET,SAC,0, -3,16:52,4,1,4,1,0,2,0,0,0,2,3
2021-02-28,DET,NYK,0, -19,20:13,6,4,6,4,1,0,1,1,0,1,15
2021-03-03,DET,TOR,1, +24,26:14,11,8,11,8,3,0,2,0,0,3,25
2021-03-04,DET,NYK,1, -10,38:23,14,6,10,4,0,3,1,0,2,0,17
2021-03-11,DET,CHO,1, -3,20:51,7,2,6,1,5,1,0,0,1,2,5
2021-03-13,DET,BRK,1, -5,26:14,8,3,8,3,1,1,0,0,2,0,9
2021-03-24,DET,IND,1, -5,22:42,7,6,5,4,3,3,0,0,1,1,16
2021-03-26,DET,BRK,0, -2,22:00,6,2,5,1,2,1,0,0,0,4,9
2021-03-27,DET,WAS,1, -14,26:12,10,5,10,5,2,1,2,1,0,1,15
2021-03-29,DET,TOR,0, +14,20:56,5,1,4,1,1,1,0,0,2,0,3
2021-04-01,DET,WAS,0, +29,18:51,8,4,6,3,5,1,0,1,0,0,11
2021-04-03,DET,NYK,0, -44,11:42,3,0,2,0,2,2,0,0,1,0,0
2021-04-06,DET,DEN,1, -15,13:23,3,0,3,0,1,1,0,0,0,1,2
2021-04-08,DET,SAC,1, +12,8:11,2,0,2,0,1,1,0,0,0,1,0
2021-04-11,DET,LAC,1, -7,25:15,7,5,7,5,2,4,0,1,1,2,15
2021-04-14,DET,LAC,0, -2,16:30,5,2,3,1,3,0,0,0,0,1,5
2021-04-17,DET,WAS,1, -21,17:20,4,2,4,2,4,1,0,0,1,1,6
2021-04-21,DET,DAL,1, -10,18:33,7,3,7,3,0,2,0,0,0,1,11
2021-04-24,DET,IND,1, -6,20:40,5,3,5,3,1,1,2,0,1,1,9
2021-04-26,DET,ATL,0, +14,22:38,5,1,4,0,2,2,0,0,0,0,2
2021-05-06,DET,MEM,0, +14,25:37,12,6,10,6,2,2,1,0,3,0,18
2021-05-08,DET,PHI,1, -14,24:00,7,1,6,1,1,2,0,0,1,0,3
