Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,CHI,ATL,0,-20,25.77,5,2,2,0,2,2,1,6,2,0,0,3,3,6,-13
2020-12-26,CHI,IND,0,-19,27.35,10,2,1,0,5,6,3,6,2,0,2,1,3,9,-20
2020-12-27,CHI,GSW,0,-1,31.47,9,8,2,1,5,8,4,13,4,0,0,3,3,22,-4
2020-12-29,CHI,WAS,1,8,34.18,8,5,1,0,0,2,0,12,3,0,0,2,5,10,14
2020-12-31,CHI,WAS,1,3,22.97,11,7,1,1,1,2,1,5,1,1,1,2,5,16,-24
2021-01-01,CHI,MIL,1,-30,25.13,7,5,2,1,1,2,1,5,3,0,1,1,4,12,-16
2021-01-03,CHI,DAL,0,10,22.83,8,2,1,0,3,5,2,7,1,1,0,1,3,7,-2
2021-01-05,CHI,POR,1,3,25.23,9,4,2,0,5,6,2,3,5,1,1,1,5,13,1
2021-01-06,CHI,SAC,1,-4,29.95,9,4,0,0,3,4,6,17,4,0,0,1,1,11,2
2021-01-08,CHI,LAL,1,-2,25.25,15,9,1,0,5,6,3,7,3,0,0,1,4,23,0
2021-01-10,CHI,LAC,1,-3,26.8,8,4,1,0,4,4,1,5,2,0,0,4,2,12,-3
2021-01-15,CHI,OKC,1,-2,32.9,9,6,0,0,4,5,4,11,2,0,3,2,2,16,-4
2021-01-17,CHI,DAL,1,16,26.55,7,3,1,1,5,8,2,7,1,5,1,2,1,12,-1
2021-01-18,CHI,HOU,0,5,20.78,7,4,0,0,2,2,3,8,1,1,0,3,2,10,-4
2021-02-15,CHI,IND,1,8,20.98,7,4,0,0,3,4,1,9,1,1,0,4,5,11,4
2021-02-17,CHI,DET,0,3,26.73,9,7,0,0,4,6,1,3,0,1,2,0,0,18,-2
2021-02-19,CHI,PHI,1,-7,24.93,13,7,2,1,0,0,0,4,1,0,0,1,3,15,-17
2021-02-20,CHI,SAC,0,8,33.13,7,3,0,0,1,2,0,5,5,0,2,2,4,7,2
2021-02-22,CHI,HOU,1,20,28.82,14,8,0,0,2,2,4,13,1,2,3,3,4,18,5
2021-02-24,CHI,MIN,0,7,31.65,8,6,2,1,4,4,0,10,2,2,2,1,5,17,-2
2021-02-26,CHI,PHO,0,-9,24.57,3,1,0,0,0,0,0,5,2,1,0,4,3,2,-5
2021-03-01,CHI,DEN,0,-6,22.7,4,2,0,0,4,6,2,3,2,0,0,1,4,8,-12
2021-03-03,CHI,NOP,1,4,27.45,11,3,1,1,0,0,7,15,4,0,1,0,3,7,22
2021-03-11,CHI,PHI,0,-22,15.1,8,3,1,0,2,2,3,9,1,0,2,2,3,8,-13
2021-03-12,CHI,MIA,0,-11,22.45,5,1,0,0,2,2,4,10,3,0,0,0,2,4,-11
2021-03-14,CHI,TOR,0,23,18.85,9,4,0,0,4,5,4,11,1,1,1,0,4,12,12
2021-03-16,CHI,OKC,0,21,22.75,8,4,0,0,1,2,1,9,2,0,1,1,1,9,17
2021-03-17,CHI,SAS,0,-7,17.27,7,3,0,0,4,4,2,6,2,0,0,1,4,10,-10
2021-03-19,CHI,DEN,1,-4,23.43,5,2,1,1,1,4,2,6,5,0,0,0,4,6,-1
