Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2021-01-30,NOP,HOU,0,-14,6.7,3,0,1,0,0,0,1,3,1,0,0,0,0,0,7
2021-02-03,NOP,PHO,0,22,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
2021-02-09,NOP,HOU,0,29,1.77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
2021-02-19,NOP,PHO,0,-18,2.43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
2021-03-12,NOP,CLE,0,34,4.62,1,0,0,0,1,2,0,1,0,0,0,1,0,1,-3
2021-03-23,NOP,LAL,0,17,2.48,0,0,0,0,0,0,1,1,1,0,0,2,1,0,-7
2021-04-02,NOP,ATL,0,-23,11.55,1,0,0,0,0,0,2,3,3,0,0,1,1,0,-6
2021-04-06,NOP,ATL,1,-16,4.05,2,1,2,1,0,0,1,1,0,0,0,2,0,3,3
2021-04-07,NOP,BRK,1,-28,7.35,4,1,2,0,1,2,2,3,0,1,0,1,0,3,4
2021-04-22,NOP,ORL,1,35,18.95,3,2,2,1,2,3,1,4,1,0,1,1,3,7,6
2021-04-26,NOP,LAC,0,17,17.73,7,4,3,2,0,0,0,1,2,1,1,1,1,10,6
2021-04-28,NOP,DEN,1,-2,17.6,1,0,0,0,0,0,0,1,0,2,0,0,5,0,1
2021-04-29,NOP,OKC,1,14,3.5,0,0,0,0,0,0,0,2,0,0,1,1,1,0,-3
2021-05-01,NOP,MIN,1,4,2.93,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-9
2021-05-03,NOP,GSW,0,-15,2.48,2,0,1,0,1,2,1,1,0,1,0,0,0,1,4
2021-05-07,NOP,PHI,1,-2,21.47,7,3,5,3,3,4,2,5,0,2,0,0,5,12,13
2021-05-09,NOP,CHO,1,2,17.18,3,1,2,0,0,0,3,6,0,1,2,2,5,2,-8
2021-05-10,NOP,MEM,1,-5,19.65,6,3,2,2,0,0,1,5,0,0,0,0,0,8,-6
2021-05-12,NOP,DAL,1,-18,26.07,5,3,3,1,0,0,1,5,1,0,1,1,1,7,-8
2021-05-14,NOP,GSW,1,-3,30.68,11,5,7,3,1,2,4,6,2,1,1,1,2,14,3
2021-05-16,NOP,LAL,0,-12,20.1,4,1,2,0,2,2,0,4,0,0,1,0,6,4,4
