Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-25,DAL,LAL,1,-23,2.38,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-4
2020-12-27,DAL,LAC,1,51,11.57,6,3,2,0,0,0,0,1,0,1,0,0,1,6,2
2020-12-30,DAL,CHO,0,-19,3.67,3,2,1,1,1,2,0,0,0,0,0,0,0,6,4
2021-01-04,DAL,HOU,1,13,2.73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-4
2021-01-09,DAL,ORL,0,14,32.43,2,0,1,0,0,0,1,6,1,2,0,2,3,0,17
2021-01-13,DAL,CHO,1,11,26.2,7,1,3,0,2,2,0,3,1,0,0,0,1,4,-10
2021-01-15,DAL,MIL,1,-3,22.9,2,1,2,1,0,0,1,6,1,0,0,0,0,3,-8
2021-01-17,DAL,CHI,0,-16,30.43,7,4,4,1,0,0,1,3,1,1,0,1,2,9,-11
2021-01-18,DAL,TOR,1,-23,16.8,4,0,4,0,0,0,0,2,1,1,0,0,1,0,-8
2021-01-20,DAL,IND,1,12,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2021-01-22,DAL,SAS,1,5,24.37,3,0,1,0,2,2,1,4,1,0,0,0,5,2,3
2021-01-23,DAL,HOU,0,-25,22.82,2,0,2,0,1,2,0,3,0,1,0,0,3,1,-7
2021-01-25,DAL,DEN,0,-4,15.7,3,1,1,0,0,0,1,3,1,1,1,0,1,2,-15
2021-01-27,DAL,UTA,1,-12,4.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-7
2021-01-29,DAL,UTA,1,-19,3.6,2,0,0,0,2,2,0,1,1,0,1,0,0,2,3
2021-02-04,DAL,GSW,0,-31,5.58,2,0,2,0,0,0,0,0,0,0,0,0,1,0,-6
2021-02-08,DAL,MIN,0,5,4.63,0,0,0,0,0,0,0,0,0,0,0,1,2,0,-2
2021-02-25,DAL,PHI,1,-14,6.5,1,1,0,0,1,1,0,1,0,0,0,1,0,3,12
2021-02-27,DAL,BRK,1,17,5.47,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-2
2021-03-03,DAL,OKC,0,9,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-03-17,DAL,LAC,0,16,10.62,0,0,0,0,0,0,0,2,0,0,0,1,2,0,-2
2021-03-19,DAL,POR,1,-6,18.6,2,2,0,0,2,2,1,2,2,1,0,0,2,6,-5
2021-03-21,DAL,POR,1,40,12.0,3,1,0,0,1,1,0,5,0,1,0,0,2,3,6
2021-03-29,NOP,BOS,1,6,4.55,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021-04-01,NOP,ORL,0,-5,20.02,7,2,2,0,3,3,1,4,1,2,0,3,1,7,-5
2021-04-02,NOP,ATL,0,-23,27.72,7,4,3,0,2,2,0,1,2,1,0,2,1,10,-8
2021-04-04,NOP,HOU,1,7,20.28,3,1,1,1,0,0,1,5,1,0,0,0,5,3,9
2021-04-06,NOP,ATL,1,-16,11.2,2,0,2,0,1,2,1,3,0,0,0,0,1,1,2
2021-04-07,NOP,BRK,1,-28,23.18,3,1,2,0,1,1,0,3,0,1,0,3,1,3,-11
2021-04-12,NOP,SAC,0,7,27.32,4,3,2,1,4,5,1,7,0,0,1,2,4,11,1
2021-04-14,NOP,NYK,0,-10,3.55,1,0,1,0,0,0,0,1,0,0,0,0,1,0,-6
2021-04-16,NOP,WAS,1,-2,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-20,NOP,BRK,0,-5,20.15,5,3,2,0,0,0,1,3,0,0,0,0,1,6,-2
2021-04-22,NOP,ORL,1,35,18.97,3,0,1,0,1,2,0,4,1,1,0,1,0,1,-1
2021-04-24,NOP,SAS,0,-2,10.45,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2
2021-04-26,NOP,LAC,0,17,1.77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
2021-05-03,NOP,GSW,0,-15,2.48,2,0,0,0,0,0,1,1,1,0,0,0,0,0,4
2021-05-07,NOP,PHI,1,-2,21.58,1,0,0,0,2,2,0,5,1,0,0,0,0,2,0
2021-05-09,NOP,CHO,1,2,17.72,4,1,1,0,0,0,1,1,1,1,0,2,2,2,-15
2021-05-10,NOP,MEM,1,-5,7.65,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2021-05-12,NOP,DAL,1,-18,12.52,5,2,0,0,0,0,2,4,0,0,0,0,1,4,-19
