Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-31,TOR,NYK,0,17,9.45,2,0,1,0,0,0,1,4,1,1,1,0,2,0,-8
2021-01-04,TOR,BOS,0,-12,4.27,1,1,1,1,0,0,0,1,0,0,0,0,0,3,7
2021-01-06,TOR,PHO,1,-8,15.9,4,1,2,1,0,0,1,3,0,0,1,1,2,3,-14
2021-01-08,TOR,SAC,1,21,19.17,5,1,2,1,0,0,2,7,0,0,1,0,1,3,16
2021-01-10,TOR,GSW,1,-1,8.98,3,1,1,0,0,0,0,2,1,0,2,2,2,2,-7
2021-01-14,TOR,CHO,0,3,14.98,2,1,2,1,0,0,0,4,0,1,1,0,0,3,8
2021-01-16,TOR,CHO,0,3,3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2021-01-18,TOR,DAL,0,23,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2021-01-22,TOR,MIA,0,20,5.63,0,0,0,0,0,0,0,2,0,0,0,0,1,0,-3
2021-01-24,TOR,IND,1,5,21.03,7,1,3,1,0,0,2,6,2,1,2,1,0,3,0
2021-01-25,TOR,IND,1,-15,15.7,6,2,4,1,4,4,3,5,0,1,0,1,1,9,-8
2021-01-27,TOR,MIL,0,-7,13.88,5,2,3,1,0,0,1,7,0,0,0,0,2,5,8
2021-01-29,TOR,SAC,0,-2,24.45,5,4,3,2,2,2,2,6,2,2,0,1,2,12,10
2021-01-31,TOR,ORL,0,13,18.93,4,3,3,3,2,2,1,1,0,1,3,1,3,11,-7
2021-02-02,TOR,ORL,1,15,11.08,2,1,1,0,0,0,0,1,0,0,0,1,0,2,0
2021-02-05,TOR,BRK,1,6,10.03,1,0,1,0,0,0,0,1,0,1,0,0,1,0,2
2021-02-06,TOR,ATL,1,-11,7.33,1,0,1,0,0,0,0,2,0,0,0,0,2,0,-3
2021-02-08,TOR,MEM,1,15,16.15,2,0,0,0,0,0,3,7,1,1,0,0,0,0,12
2021-02-18,TOR,MIL,1,14,5.62,0,0,0,0,0,0,0,2,0,0,1,0,1,0,-3
2021-02-19,TOR,MIN,1,5,11.4,0,0,0,0,0,0,1,2,0,0,0,0,2,0,-10
2021-02-26,TOR,HOU,0,11,17.3,6,2,3,0,0,0,0,4,1,0,0,0,0,4,-5
2021-03-03,TOR,DET,0,-24,10.62,3,0,2,0,0,0,1,4,0,0,0,0,1,0,-6
2021-03-11,TOR,ATL,0,-1,7.83,2,1,1,1,0,0,0,0,0,0,0,0,0,3,13
2021-03-13,TOR,CHO,1,-10,13.48,4,0,1,0,1,2,1,4,2,1,0,0,0,1,8
2021-03-14,TOR,CHI,1,-23,7.88,1,0,0,0,0,0,1,3,2,0,1,0,1,0,0
2021-03-17,TOR,DET,1,-4,3.82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-6
2021-03-24,TOR,DEN,0,24,5.72,0,0,0,0,0,0,0,3,0,0,1,0,1,0,-11
2021-03-29,TOR,DET,1,-14,9.62,2,2,0,0,0,0,3,5,0,1,0,0,1,4,5
2021-03-31,TOR,OKC,1,-10,7.22,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-4
2021-04-02,TOR,GSW,0,53,13.47,6,3,1,0,0,1,3,8,1,0,0,1,2,6,1
2021-04-05,TOR,WAS,0,2,17.65,2,1,1,0,0,0,1,3,2,1,0,0,0,2,18
2021-04-06,TOR,LAL,0,-9,19.77,7,3,3,0,2,3,2,3,1,2,1,0,2,8,7
2021-04-08,TOR,CHI,0,-9,16.9,3,3,1,1,0,0,1,2,1,1,0,0,1,7,-5
2021-04-10,TOR,CLE,1,20,22.98,7,6,2,2,0,0,0,5,1,1,0,1,3,14,6
2021-04-11,TOR,NYK,1,-6,15.58,5,3,4,2,0,0,0,3,1,3,0,1,0,8,-1
2021-04-13,TOR,ATL,0,-5,15.08,2,0,1,0,0,0,0,4,1,0,0,0,1,0,-7
2021-04-14,TOR,SAS,0,5,19.9,6,4,5,3,0,0,0,4,1,1,0,1,2,11,9
2021-04-16,TOR,ORL,0,11,26.95,11,7,4,2,5,5,0,6,2,0,1,2,3,21,9
2021-04-18,TOR,OKC,0,6,29.32,6,3,2,1,3,4,1,4,4,0,0,1,2,10,-2
2021-04-21,TOR,BRK,0,11,13.82,4,2,3,1,0,0,2,3,1,0,0,0,1,5,-2
2021-04-24,TOR,NYK,1,-17,14.4,3,1,1,1,0,0,0,0,1,0,0,0,2,3,-22
2021-04-26,TOR,CLE,0,16,19.87,4,4,1,1,0,0,0,2,0,0,0,1,2,9,5
2021-04-27,TOR,BRK,0,-13,18.22,7,3,5,2,0,0,0,3,0,0,1,1,2,8,-13
2021-04-29,TOR,DEN,1,-10,18.62,4,1,3,1,2,2,0,2,1,1,1,0,0,5,1
2021-05-01,TOR,UTA,1,-4,14.33,3,1,1,0,0,0,1,1,2,1,0,0,1,2,1
2021-05-02,TOR,LAL,1,7,17.0,4,2,2,1,1,2,1,4,2,0,1,0,3,6,0
2021-05-04,TOR,LAC,1,-5,30.25,6,2,5,2,0,0,1,6,1,2,0,1,0,6,-13
2021-05-08,TOR,MEM,0,-10,24.6,8,4,5,3,0,0,0,4,0,1,0,0,3,11,-14
2021-05-11,TOR,LAC,0,-19,21.43,9,3,3,0,2,2,0,4,3,0,0,0,0,8,-6
2021-05-13,TOR,CHI,1,-12,9.33,3,0,1,0,0,0,0,2,1,1,0,1,0,0,-8
