Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-28,DEN,HOU,0,13,3.62,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-12
2020-12-29,DEN,SAC,1,-10,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,DEN,MIN,1,15,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2021-01-09,DEN,PHI,1,12,2.1,3,1,1,0,0,0,1,1,0,0,0,0,0,2,-8
2021-01-10,DEN,NYK,1,25,3.73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2021-01-19,DEN,OKC,0,18,5.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-11
2021-01-27,DEN,MIA,1,27,2.45,3,2,0,0,0,0,0,2,0,0,0,0,0,4,4
2021-01-29,DEN,SAS,1,-10,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021-01-31,DEN,UTA,0,11,1.65,1,0,0,0,0,0,1,1,0,0,0,0,1,0,-7
2021-02-04,DEN,LAL,1,-21,2.88,2,1,1,1,0,0,0,0,0,0,1,0,0,3,-4
2021-02-10,DEN,CLE,0,38,18.77,7,5,6,4,0,0,1,1,0,0,0,0,1,14,10
2021-02-12,DEN,OKC,0,2,6.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-10
2021-02-14,DEN,LAL,0,17,23.83,7,5,5,4,2,4,1,3,0,1,0,0,1,16,9
2021-02-16,DEN,BOS,1,-13,26.47,3,1,2,0,0,0,0,2,0,0,0,0,1,2,-18
2021-02-17,DEN,WAS,1,-2,13.48,4,1,3,1,0,0,1,2,0,0,0,0,1,3,-8
2021-02-19,DEN,CLE,1,17,6.45,2,0,2,0,0,0,1,2,1,0,0,0,0,0,2
2021-02-21,DEN,ATL,1,-8,29.92,5,3,3,1,0,0,0,3,1,0,0,2,0,7,-6
2021-02-23,DEN,POR,0,5,23.58,8,4,6,2,0,0,1,3,0,1,0,0,2,10,10
2021-02-25,DEN,WAS,0,-2,14.55,2,2,1,1,2,2,1,1,0,0,0,2,2,7,6
2021-02-27,DEN,OKC,1,30,15.48,3,1,0,0,1,1,0,5,0,0,0,0,3,3,6
2021-03-01,DEN,CHI,1,6,13.45,2,1,1,0,0,0,0,1,0,0,0,0,1,2,-5
2021-03-02,DEN,MIL,1,31,15.67,4,3,1,0,0,0,2,4,0,1,0,1,0,6,8
2021-03-04,DEN,IND,1,10,16.5,3,1,2,1,0,0,0,1,1,0,1,0,1,3,16
2021-03-13,DEN,DAL,0,-13,4.72,0,0,0,0,0,0,1,3,1,0,0,0,0,0,-1
2021-03-15,DEN,IND,0,15,1.48,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-2
2021-03-17,DEN,CHO,0,25,19.38,5,2,1,0,0,0,0,2,0,0,1,1,2,4,-2
2021-03-19,DEN,CHI,0,4,10.98,3,3,2,2,0,0,0,0,1,1,0,0,2,8,0
2021-03-23,DEN,ORL,1,11,11.75,4,3,1,0,0,0,1,5,0,0,0,0,2,6,0
2021-03-24,DEN,TOR,1,-24,19.02,6,1,4,0,5,6,1,7,0,0,0,1,0,7,-14
2021-03-26,DEN,NOP,1,5,3.58,1,1,1,1,0,0,0,0,0,0,0,0,0,3,-11
2021-03-28,DEN,ATL,0,24,6.05,1,1,1,1,2,2,0,2,0,0,0,0,1,5,2
2021-04-06,DEN,DET,0,15,4.03,2,1,2,1,0,0,0,1,0,0,1,0,1,3,-4
2021-04-07,DEN,SAS,0,10,3.78,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-10
2021-04-11,DEN,BOS,0,-18,8.05,3,0,2,0,0,0,0,1,1,1,0,0,2,0,-6
2021-04-14,DEN,MIA,0,17,2.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-16,DEN,HOU,1,29,7.78,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5
2021-04-23,DEN,GSW,1,-21,2.13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-3
2021-04-24,DEN,HOU,0,13,3.85,0,0,0,0,0,0,0,1,2,0,0,0,0,0,-12
2021-04-26,DEN,MEM,0,24,3.32,2,1,1,0,0,0,0,1,0,0,0,0,1,2,1
2021-04-29,DEN,TOR,0,10,3.03,2,0,0,0,0,0,0,0,0,0,0,0,1,0,-9
2021-05-14,DEN,DET,1,13,20.58,7,3,4,2,0,0,0,2,2,2,0,0,0,8,0
2021-05-16,DEN,POR,1,-16,13.43,2,2,2,2,0,0,1,5,0,0,0,0,1,6,4
